skill
python
java
javascript
typescript
c++
c#
go
rust
kotlin
php
ruby
sql
nosql
mongodb
postgresql
mysql
firebase
oracle
aws
azure
gcp
cloud computing
docker
kubernetes
terraform
linux
bash
powershell
ansible
jenkins
circleci
travis ci
ci/cd
github
gitlab
bitbucket
jira
postman
rest api
graphql
microservices
serverless
flask
fastapi
django
spring boot
express.js
react
next.js
vue.js
angular
node.js
tailwind css
material ui
html
css
sass
bootstrap
langchain
huggingface
transformers
llm
openai
pytorch
tensorflow
scikit-learn
mlops
airflow
dbt
snowflake
bigquery
data pipeline
data warehouse
prompt engineering
excel
power bi
tableau
notion
figma
slack
zapier
communication
collaboration
agile
scrum
